timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730325154745,209,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-162,text,true,,278,905,14,14,http://10.64.13.61/perfmonitor/v1/applications,209,0,18
1730325154646,308,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-158,text,true,,278,905,14,14,http://10.64.13.61/perfmonitor/v1/applications,308,0,25
1730325154669,285,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-159,text,true,,278,905,14,14,http://10.64.13.61/perfmonitor/v1/applications,285,0,17
1730325154767,210,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-163,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,210,0,16
1730325154796,209,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-164,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,209,0,15
1730325154821,221,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-165,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,221,0,22
1730325154871,210,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-167,text,true,,278,905,10,10,http://10.64.13.61/perfmonitor/v1/applications,210,0,21
1730325154843,215,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-166,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,215,0,24
1730325154896,206,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-168,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,206,0,18
1730325154922,208,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-169,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,208,0,17
1730325154947,220,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-170,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,220,0,28
1730325154972,214,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-171,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,214,0,15
1730325154997,214,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-172,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,214,0,19
1730325155022,229,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-173,text,true,,278,905,10,10,http://10.64.13.61/perfmonitor/v1/applications,229,0,21
1730325155048,215,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-174,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,215,0,23
1730325155067,223,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-175,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,223,0,23
1730325155092,218,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-176,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,218,0,22
1730325155121,243,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-177,text,true,,278,905,10,10,http://10.64.13.61/perfmonitor/v1/applications,243,0,19
1730325155146,218,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-178,text,true,,278,905,10,10,http://10.64.13.61/perfmonitor/v1/applications,218,0,17
1730325155171,219,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-179,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,219,0,19
1730325155192,213,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-180,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,213,0,19
1730325155217,203,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-181,text,true,,278,905,8,8,http://10.64.13.61/perfmonitor/v1/applications,203,0,15
1730325155247,206,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-182,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,206,0,16
1730325155271,212,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-183,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,212,0,19
1730325155296,208,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-184,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,208,0,18
1730325155318,208,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-185,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,208,0,17
1730325155341,213,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-186,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,213,0,23
1730325155370,213,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-187,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,213,0,21
1730325155396,209,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-188,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,209,0,16
1730325155421,215,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-189,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,215,0,19
1730325155442,212,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-190,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,212,0,21
1730325155467,212,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-191,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,212,0,17
1730325155496,212,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-192,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,212,0,18
1730325155521,208,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-193,text,true,,278,905,8,8,http://10.64.13.61/perfmonitor/v1/applications,208,0,15
1730325155547,212,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-194,text,true,,278,905,7,7,http://10.64.13.61/perfmonitor/v1/applications,212,0,20
1730325155571,216,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-195,text,true,,278,905,6,6,http://10.64.13.61/perfmonitor/v1/applications,216,0,22
1730325155594,207,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-196,text,true,,278,905,5,5,http://10.64.13.61/perfmonitor/v1/applications,207,0,18
1730325155621,206,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-197,text,true,,278,905,4,4,http://10.64.13.61/perfmonitor/v1/applications,206,0,15
1730325155642,211,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-198,text,true,,278,905,3,3,http://10.64.13.61/perfmonitor/v1/applications,211,0,16
1730325155671,212,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-199,text,true,,278,905,2,2,http://10.64.13.61/perfmonitor/v1/applications,212,0,18
1730325155696,215,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-200,text,true,,278,905,1,1,http://10.64.13.61/perfmonitor/v1/applications,215,0,19
